Job Class,Percentage
Management,6.1,google.com
Business and Financial operations,5,google.com
Computer and Mathematical,2.7,google.com
Architecture and Engineering,1.7,google.com
"Life, Physical and Social Science",0.9,google.com
Community and Social Service,1.6,google.com
Legal,0.8,google.com
"Education, training and library",6.1,google.com
"Arts, design, entertainment, sports and media",1.7,google.com
Healthcare practioners and technical,5.5,google.com
Healthcare support,2.8,google.com
Protective service,2.3,google.com
Food preparation and serving,8.3,google.com
Building and grounds cleaning and maintenance,3.7,google.com
Personal care and service,4,google.com
Sales,10.2,google.com
Office and administrative support,15.1,google.com
"Farming, fishing and forestry",0.6,google.com
Construction and extraction,4.3,google.com
"Installation, maintenance and repair",3.8,google.com
Production,6.1,google.com
Transportation and material moving,6.5,google.com
Total,99.8,google.com
